n,t,seed,Δ_method_1,Δ_method_1_t_0,Δ_method_1_t_1,Δ_method_2,Δ_method_2_t_0,Δ_method_2_t_1
1.6777216e7,1.6777216e7,338.0,0.06659489870071411,0.703163743019104,0.7697586417198181,0.005838572978973389,0.7149690985679626,0.720807671546936
1.6777216e7,1.6777216e7,339.0,0.06523948907852173,0.7048001885414124,0.7700396776199341,0.0049932003021240234,0.7158196568489075,0.7208128571510315
1.6777216e7,1.6777216e7,340.0,0.06749504804611206,0.7025057077407837,0.7700007557868958,0.006071567535400391,0.714802622795105,0.7208741903305054
1.6777216e7,1.6777216e7,341.0,0.06504738330841064,0.7049264311790466,0.7699738144874573,0.005352020263671875,0.7161909341812134,0.7215429544448853
1.6777216e7,1.6777216e7,342.0,0.0671038031578064,0.7029477953910828,0.7700515985488892,0.006041228771209717,0.7156252861022949,0.7216665148735046
1.6777216e7,1.6777216e7,343.0,0.06550270318984985,0.704677939414978,0.7701806426048279,0.004516184329986572,0.7164081931114197,0.7209243774414062
1.6777216e7,1.6777216e7,344.0,0.06622880697250366,0.7034795880317688,0.7697083950042725,0.004627883434295654,0.7162946462631226,0.7209225296974182
1.6777216e7,1.6777216e7,345.0,0.06476336717605591,0.7051215767860413,0.7698849439620972,0.005434811115264893,0.7157951593399048,0.7212299704551697
1.6777216e7,1.6777216e7,346.0,0.06568115949630737,0.7041512131690979,0.7698323726654053,0.004942893981933594,0.7167116403579712,0.7216545343399048
1.6777216e7,1.6777216e7,347.0,0.07005316019058228,0.7000104188919067,0.770063579082489,0.00576096773147583,0.7152817845344543,0.7210427522659302
1.6777216e7,1.6777216e7,348.0,0.07056528329849243,0.6996378898620605,0.770203173160553,0.005121171474456787,0.7162807583808899,0.7214019298553467
1.6777216e7,1.6777216e7,349.0,0.06619906425476074,0.7035195827484131,0.7697186470031738,0.0053026676177978516,0.715874969959259,0.7211776375770569
1.6777216e7,1.6777216e7,350.0,0.06586951017379761,0.7042135000228882,0.7700830101966858,0.005997896194458008,0.7157860994338989,0.7217839956283569
1.6777216e7,1.6777216e7,351.0,0.06492918729782104,0.705169677734375,0.770098865032196,0.004664480686187744,0.7161943912506104,0.7208588719367981
1.6777216e7,1.6777216e7,352.0,0.06772047281265259,0.7022402882575989,0.7699607610702515,0.005525708198547363,0.7159227132797241,0.7214484214782715
1.6777216e7,1.6777216e7,353.0,0.0652536153793335,0.7045595645904541,0.7698131799697876,0.005268216133117676,0.7155524492263794,0.7208206653594971
1.6777216e7,1.6777216e7,354.0,0.06516855955123901,0.7048603892326355,0.7700289487838745,0.005643725395202637,0.7154439687728882,0.7210876941680908
1.6777216e7,1.6777216e7,355.0,0.06587624549865723,0.7040160298347473,0.7698922753334045,0.004661738872528076,0.7159857153892517,0.7206474542617798
1.6777216e7,1.6777216e7,356.0,0.06983232498168945,0.6999373435974121,0.7697696685791016,0.005027890205383301,0.7166695594787598,0.7216974496841431
1.6777216e7,1.6777216e7,357.0,0.06715703010559082,0.7026730179786682,0.769830048084259,0.004952430725097656,0.7160442471504211,0.7209966778755188
1.6777216e7,1.6777216e7,358.0,0.06497740745544434,0.7048284411430359,0.7698058485984802,0.004585623741149902,0.7169161438941956,0.7215017676353455
1.6777216e7,1.6777216e7,359.0,0.06382763385772705,0.7062366008758545,0.7700642347335815,0.005031168460845947,0.7167537808418274,0.7217849493026733
1.6777216e7,1.6777216e7,360.0,0.06627649068832397,0.7038349509239197,0.7701114416122437,0.0040552616119384766,0.7168628573417664,0.7209181189537048
1.6777216e7,1.6777216e7,361.0,0.06402850151062012,0.705743670463562,0.7697721719741821,0.0059081315994262695,0.7153702974319458,0.7212784290313721
